id,value,volume,stdev,leadtime,order_quantity
1,10.1,813,81.3,1,920
2,13.4,792,118.8,2,1840
3,14.1,567,107.7,1,1190
4,14.7,567,119.1,2,1340
5,14.8,708,148.7,1,1200
6,18.1,423,122.7,1,510
7,21.2,325,74.8,1,850
8,22.2,347,114.5,1,390
9,24.1,280,120.4,1,800
10,26.4,281,92.7,1,750
11,31.3,257,151.6,1,610
12,33,159,103.4,2,460
13,50.4,151,92.1,1,290
14,50.9,257,167.1,1,550
15,51.2,111,79.9,1,180
16,55.4,114,78.7,2,130
17,60.1,95,85.5,1,170
18,61.4,91,84.6,2,110
19,70.8,84,69.7,1,200
20,71.2,104,124.8,2,170
21,71.8,78,103.7,1,190
22,74.9,66,62,2,180
23,75.5,82,125.5,1,220
24,76.9,41,60.3,1,130
25,112,46,101.2,1,100
